5856
0	(-0.275617,-0.678971,-0.607024) (-0.251555,-0.727883,-0.608731) (-0.244459,-0.722986,-0.565955)
1	(-0.24845,-0.718607,-0.651807) (-0.251555,-0.727883,-0.608731) (-0.275617,-0.678971,-0.607024)
2	(-0.244459,-0.722986,-0.565955) (-0.265785,-0.67835,-0.561792) (-0.275617,-0.678971,-0.607024)
3	(-0.265785,-0.67835,-0.561792) (-0.244459,-0.722986,-0.565955) (-0.232917,-0.71065,-0.537201)
4	(-0.275617,-0.678971,-0.607024) (-0.272089,-0.672263,-0.65277) (-0.24845,-0.718607,-0.651807)
5	(-0.239263,-0.702422,-0.681157) (-0.24845,-0.718607,-0.651807) (-0.272089,-0.672263,-0.65277)
6	(-0.232917,-0.71065,-0.537201) (-0.243807,-0.678202,-0.524771) (-0.265785,-0.67835,-0.561792)
7	(-0.272089,-0.672263,-0.65277) (-0.253605,-0.666488,-0.691538) (-0.239263,-0.702422,-0.681157)
8	(-0.265785,-0.67835,-0.561792) (-0.243807,-0.678202,-0.524771) (-0.253946,-0.625634,-0.514206)
9	(-0.275617,-0.678971,-0.607024) (-0.265785,-0.67835,-0.561792) (-0.278279,-0.620782,-0.555104)
10	(-0.253946,-0.625634,-0.514206) (-0.278279,-0.620782,-0.555104) (-0.265785,-0.67835,-0.561792)
11	(-0.272089,-0.672263,-0.65277) (-0.275617,-0.678971,-0.607024) (-0.289264,-0.61735,-0.605198)
12	(-0.278279,-0.620782,-0.555104) (-0.289264,-0.61735,-0.605198) (-0.275617,-0.678971,-0.607024)
13	(-0.253605,-0.666488,-0.691538) (-0.272089,-0.672263,-0.65277) (-0.285616,-0.612771,-0.655132)
14	(-0.289264,-0.61735,-0.605198) (-0.285616,-0.612771,-0.655132) (-0.272089,-0.672263,-0.65277)
15	(-0.285616,-0.612771,-0.655132) (-0.265379,-0.609255,-0.69684) (-0.253605,-0.666488,-0.691538)
16	(-0.278279,-0.620782,-0.555104) (-0.253946,-0.625634,-0.514206) (-0.261978,-0.562262,-0.50576)
17	(-0.289264,-0.61735,-0.605198) (-0.278279,-0.620782,-0.555104) (-0.285535,-0.554433,-0.54962)
18	(-0.261978,-0.562262,-0.50576) (-0.285535,-0.554433,-0.54962) (-0.278279,-0.620782,-0.555104)
19	(-0.285535,-0.554433,-0.54962) (-0.295234,-0.549636,-0.602699) (-0.289264,-0.61735,-0.605198)
20	(-0.285616,-0.612771,-0.655132) (-0.289264,-0.61735,-0.605198) (-0.295234,-0.549636,-0.602699)
21	(-0.265379,-0.609255,-0.69684) (-0.285616,-0.612771,-0.655132) (-0.290954,-0.545331,-0.653249)
22	(-0.295234,-0.549636,-0.602699) (-0.290954,-0.545331,-0.653249) (-0.285616,-0.612771,-0.655132)
