40018
0	(0.0681452,-0.496766,-0.380973) (0.0648447,-0.506571,-0.37566) (0.0542048,-0.496346,-0.379827)
1	(0.0328872,-0.497313,-0.373969) (0.0427441,-0.491672,-0.37881) (0.0542048,-0.496346,-0.379827)
2	(0.0418119,-0.507882,-0.371776) (0.0328872,-0.497313,-0.373969) (0.0542048,-0.496346,-0.379827)
3	(0.0542048,-0.496346,-0.379827) (0.0648447,-0.506571,-0.37566) (0.0418119,-0.507882,-0.371776)
4	(0.0648447,-0.506571,-0.37566) (0.0465396,-0.516231,-0.367167) (0.0418119,-0.507882,-0.371776)
5	(0.0503276,-0.523125,-0.362009) (0.0465396,-0.516231,-0.367167) (0.0648447,-0.506571,-0.37566)
6	(0.0328872,-0.497313,-0.373969) (0.0418119,-0.507882,-0.371776) (0.0223616,-0.512504,-0.362658)
7	(0.00932837,-0.504318,-0.361408) (0.0138517,-0.495327,-0.366041) (0.0328872,-0.497313,-0.373969)
8	(0.0223616,-0.512504,-0.362658) (0.00932837,-0.504318,-0.361408) (0.0328872,-0.497313,-0.373969)
9	(0.0418119,-0.507882,-0.371776) (0.0277606,-0.5204,-0.359409) (0.0223616,-0.512504,-0.362658)
10	(0.0277606,-0.5204,-0.359409) (0.0418119,-0.507882,-0.371776) (0.0465396,-0.516231,-0.367167)
11	(0.0503276,-0.523125,-0.362009) (0.0277606,-0.5204,-0.359409) (0.0465396,-0.516231,-0.367167)
12	(0.00932837,-0.504318,-0.361408) (-0.0118512,-0.499577,-0.354934) (0.0138517,-0.495327,-0.366041)
13	(0.0503276,-0.523125,-0.362009) (0.0395282,-0.528555,-0.354952) (0.0277606,-0.5204,-0.359409)
14	(0.0395282,-0.528555,-0.354952) (0.0503276,-0.523125,-0.362009) (0.0557001,-0.530641,-0.355069)
15	(0.00932837,-0.504318,-0.361408) (0.0223616,-0.512504,-0.362658) (-0.00566018,-0.510318,-0.353487)
16	(-0.00566018,-0.510318,-0.353487) (-0.0118512,-0.499577,-0.354934) (0.00932837,-0.504318,-0.361408)
17	(0.0223616,-0.512504,-0.362658) (0.0277606,-0.5204,-0.359409) (0.00469136,-0.51956,-0.351469)
18	(0.0223616,-0.512504,-0.362658) (0.00469136,-0.51956,-0.351469) (-0.00566018,-0.510318,-0.353487)
19	(0.0242255,-0.526051,-0.353706) (0.0277606,-0.5204,-0.359409) (0.0395282,-0.528555,-0.354952)
20	(0.0277606,-0.5204,-0.359409) (0.0242255,-0.526051,-0.353706) (0.00469136,-0.51956,-0.351469)
21	(-0.0118512,-0.499577,-0.354934) (-0.00566018,-0.510318,-0.353487) (-0.01745,-0.509162,-0.348146)
22	(0.043299,-0.537469,-0.345562) (0.0395282,-0.528555,-0.354952) (0.0557001,-0.530641,-0.355069)
23	(0.043299,-0.537469,-0.345562) (0.0557001,-0.530641,-0.355069) (0.058989,-0.537962,-0.34697)
24	(-0.0118512,-0.499577,-0.354934) (-0.01745,-0.509162,-0.348146) (-0.0324841,-0.494089,-0.345344)
25	(0.0395282,-0.528555,-0.354952) (0.043299,-0.537469,-0.345562) (0.0328091,-0.538194,-0.342653)
